Title,PublicationDate,Subjects,SourceURL,SourceDate
73,"Merge left : fusing race and class, winning elections, and saving 
America / Ian Haney L<U+fffd>opez.",2019.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
74,"Home-grown hate : gender and organized racism / Abby L. Ferber, 
editor.",2004.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
75,Honor bound : race and shame in America / David Leverenz.,c2012.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
76,"The myth of racial color blindness : manifestations, dynamics, and 
impact / edited by Helen A. Neville, Miguel E. Gallardo, and 
Derald Wing Sue.",[2016],https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
77,So you want to talk about race / Ijeoma Oluo.,[2018],https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
78,"More beautiful and more terrible : the embrace and transcendence 
of racial inequality in the United States / Imani Perry.",2011.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
79,"Whiteness and racialized ethnic groups in the United States : the 
politics of remembering / Sherrow O. Pinder.",2013.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
80,"Reproducing racism : how everyday choices lock in white 
advantage / Daria Roithmayr.",[2014],https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
81,"Savage perils : racial frontiers and nuclear apocalypse in American 
culture / Patrick B. Sharp.",c2007.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
82,"American swastika : inside the white power movement's hidden 
spaces of hate / Pete Simi and Robert Futrell.",c2010.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
83,"American swastika : inside the white power movement's hidden 
spaces of hate / Pete Simi and Robert Futrell.",[2015],https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
84,Reproducing race : the paradox of generation mix / Rainier Spencer.,2011.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
85,"An impossible dream? : racial integration in the United States / 
Sharon A. Stanley.",[2017],https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
86,"The new white nationalism in America : its challenge to integration 
/ Carol M. Swain.",2002.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
87,"The changing nature of racial and ethnic conflict in United States 
history : 1492 to the present / Leslie V. Tischauser.",c2002.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
88,"Fire in the heart : how white activists embrace racial justice / Mark 
R. Warren.",2010.,https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
89,"The religion of white supremacy in the United States / Eric A. 
Weed.",[2017],https://media.defense.gov/2025/Apr/04/2003683009/-1/-1/0/250404-LIST%20OF%20REMOVED%20BOOKS%20FROM%20NIMITZ%20LIBRARY.PDF,2025-04-04
